blank,session,date,filename,unit,topic,long-topic,concepts,title,pad-slug,image,zotero-tag,zotero-readings,objective,Aufgabe,tags,contents,slide-filename,slide-frontmatter,slide-body1,slide-body2,slide-content
,1,16.10,2025-10-16-1.md,Einführung,Einführung,"Einführung, Konzeptualisierung, Ziele",,1. Einführung: Einführung,1,cordoba-design.jpg,1-Einführung,,,,[1],"---
layout: post
session: 1
tags: [1]
level: overview
---",2025-10-16-1-slides.md,"---
layout: reveal
title: 'Einführung, Konzeptualisierung, Ziele'
author: 'Rana Alsoufi & Nathan Gibson'
session: 1
tags: [1,slides]
category: slides
image: cordoba-design.jpg
parallaxBackgroundImage: 'assets/img/cordoba-design.jpg'
---
","# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Einführung, Konzeptualisierung, Ziele

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

objective

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

","

## Lektüre



## Diskussion


## Vorschau

Was sind Polemiken und wofür sollen sie analysiert werden?","---
layout: reveal
title: 'Einführung, Konzeptualisierung, Ziele'
author: 'Rana Alsoufi & Nathan Gibson'
session: 1
tags: [1,slides]
category: slides
image: cordoba-design.jpg
parallaxBackgroundImage: 'assets/img/cordoba-design.jpg'
---
# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Einführung, Konzeptualisierung, Ziele

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

objective

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel



## Lektüre



## Diskussion


## Vorschau

Was sind Polemiken und wofür sollen sie analysiert werden?"
,2,23.10,2025-10-23-2.md,Einführung,Polemiken,Was sind Polemiken und wofür sollen sie analysiert werden?,,2. Einführung: Polemiken,2,dialog-muslim-christian.jpg,2-Polemiken,,,,[2],"---
layout: post
session: 2
tags: [2]
level: overview
---",2025-10-23-2-slides.md,"---
layout: reveal
title: 'Was sind Polemiken und wofür sollen sie analysiert werden?'
author: 'Nathan Gibson'
session: 2
tags: [2,slides]
category: slides
image: dialog-muslim-christian.jpg
parallaxBackgroundImage: 'assets/img/dialog-muslim-christian.jpg'
---
","# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Was sind Polemiken und wofür sollen sie analysiert werden?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

","

## Lektüre



## Diskussion


## Vorschau

Wie wurde in Polemiken über die Bibel diskutiert?","---
layout: reveal
title: 'Was sind Polemiken und wofür sollen sie analysiert werden?'
author: 'Nathan Gibson'
session: 2
tags: [2,slides]
category: slides
image: dialog-muslim-christian.jpg
parallaxBackgroundImage: 'assets/img/dialog-muslim-christian.jpg'
---
# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Was sind Polemiken und wofür sollen sie analysiert werden?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel



## Lektüre



## Diskussion


## Vorschau

Wie wurde in Polemiken über die Bibel diskutiert?"
,3,30.10,2025-10-30-3.md,Muslimisch-jüdischer Austausch,Bibelkritik,Wie wurde in Polemiken über die Bibel diskutiert?,Schriftlichkeit,3. Muslimisch-jüdischer Austausch: Bibelkritik,3,bible-john1-en-ar.jpg,3-Bibelkritik,whittinghamIntroduction2020,,,[3],"---
layout: post
session: 3
tags: [3]
level: overview
---",2025-10-30-3-slides.md,"---
layout: reveal
title: 'Wie wurde in Polemiken über die Bibel diskutiert?'
author: 'Nathan Gibson'
session: 3
tags: [3,slides]
category: slides
image: bible-john1-en-ar.jpg
parallaxBackgroundImage: 'assets/img/bible-john1-en-ar.jpg'
---
","# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Wie wurde in Polemiken über die Bibel diskutiert?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

","

## Lektüre



## Diskussion


## Vorschau

Was hat Ibn Hazm über die Bibel geschrieben?","---
layout: reveal
title: 'Wie wurde in Polemiken über die Bibel diskutiert?'
author: 'Nathan Gibson'
session: 3
tags: [3,slides]
category: slides
image: bible-john1-en-ar.jpg
parallaxBackgroundImage: 'assets/img/bible-john1-en-ar.jpg'
---
# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Wie wurde in Polemiken über die Bibel diskutiert?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel



## Lektüre



## Diskussion


## Vorschau

Was hat Ibn Hazm über die Bibel geschrieben?"
,4,06.11,2025-11-06-4.md,Muslimisch-jüdischer Austausch,Ibn Ḥazm: Text,Was hat Ibn Hazm über die Bibel geschrieben?,"Heiligkeit, heilige Orte, Rituale",4. Muslimisch-jüdischer Austausch: Ibn Ḥazm: Text,4,ibn-hazm-ring-dove-ms.jpg,4-Ibn-Ḥazm-Text,,,,[4],"---
layout: post
session: 4
tags: [4]
level: overview
---",2025-11-06-4-slides.md,"---
layout: reveal
title: 'Was hat Ibn Hazm über die Bibel geschrieben?'
author: 'Nathan Gibson'
session: 4
tags: [4,slides]
category: slides
image: ibn-hazm-ring-dove-ms.jpg
parallaxBackgroundImage: 'assets/img/ibn-hazm-ring-dove-ms.jpg'
---
","# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Was hat Ibn Hazm über die Bibel geschrieben?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

","

## Lektüre



## Diskussion


## Vorschau

Was ist die Argumentationsanalyse?","---
layout: reveal
title: 'Was hat Ibn Hazm über die Bibel geschrieben?'
author: 'Nathan Gibson'
session: 4
tags: [4,slides]
category: slides
image: ibn-hazm-ring-dove-ms.jpg
parallaxBackgroundImage: 'assets/img/ibn-hazm-ring-dove-ms.jpg'
---
# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Was hat Ibn Hazm über die Bibel geschrieben?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel



## Lektüre



## Diskussion


## Vorschau

Was ist die Argumentationsanalyse?"
,5,13.11,2025-11-13-5.md,Muslimisch-jüdischer Austausch,Argumentationsanalyse,Was ist die Argumentationsanalyse?,"Heiligkeit, heilige Orte",5. Muslimisch-jüdischer Austausch: Argumentationsanalyse,5,argumentation-speech-bubbles.jpg,5-Argumentationsanalyse,,,,[5],"---
layout: post
session: 5
tags: [5]
level: overview
---",2025-11-13-5-slides.md,"---
layout: reveal
title: 'Was ist die Argumentationsanalyse?'
author: 'Nathan Gibson'
session: 5
tags: [5,slides]
category: slides
image: argumentation-speech-bubbles.jpg
parallaxBackgroundImage: 'assets/img/argumentation-speech-bubbles.jpg'
---
","# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Was ist die Argumentationsanalyse?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

","

## Lektüre



## Diskussion


## Vorschau

Übung: Argumentationsanalyse von Ibn Hazm mit Close Reading","---
layout: reveal
title: 'Was ist die Argumentationsanalyse?'
author: 'Nathan Gibson'
session: 5
tags: [5,slides]
category: slides
image: argumentation-speech-bubbles.jpg
parallaxBackgroundImage: 'assets/img/argumentation-speech-bubbles.jpg'
---
# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Was ist die Argumentationsanalyse?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel



## Lektüre



## Diskussion


## Vorschau

Übung: Argumentationsanalyse von Ibn Hazm mit Close Reading"
,6,20.11,2025-11-20-6.md,Muslimisch-jüdischer Austausch,Ibn Ḥazm: Argumentationsanalyse,Übung: Argumentationsanalyse von Ibn Hazm mit Close Reading,,6. Muslimisch-jüdischer Austausch: Ibn Ḥazm: Argumentationsanalyse,6,cordoba-building.jpg,6-Ibn-Ḥazm-Argumentationsanalyse,,,,[6],"---
layout: post
session: 6
tags: [6]
level: overview
---",2025-11-20-6-slides.md,"---
layout: reveal
title: 'Übung: Argumentationsanalyse von Ibn Hazm mit Close Reading'
author: 'Nathan Gibson'
session: 6
tags: [6,slides]
category: slides
image: cordoba-building.jpg
parallaxBackgroundImage: 'assets/img/cordoba-building.jpg'
---
","# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Übung: Argumentationsanalyse von Ibn Hazm mit Close Reading

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

","

## Lektüre



## Diskussion


## Vorschau

Wie wurde aus jüdischer Seite auf Ibn Hazm geantwortet?","---
layout: reveal
title: 'Übung: Argumentationsanalyse von Ibn Hazm mit Close Reading'
author: 'Nathan Gibson'
session: 6
tags: [6,slides]
category: slides
image: cordoba-building.jpg
parallaxBackgroundImage: 'assets/img/cordoba-building.jpg'
---
# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Übung: Argumentationsanalyse von Ibn Hazm mit Close Reading

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel



## Lektüre



## Diskussion


## Vorschau

Wie wurde aus jüdischer Seite auf Ibn Hazm geantwortet?"
,7,27.11,2025-11-27-7.md,Muslimisch-jüdischer Austausch,Salomo ibn Adret: Text,Wie wurde aus jüdischer Seite auf Ibn Hazm geantwortet?,"Schriftlichkeit, Mündlichkeit, Normativität",7. Muslimisch-jüdischer Austausch: Salomo ibn Adret: Text,7,cordoba-synagogue-inscription.jpg,7-Salomo-ibn-Adret-Text,,,,[7],"---
layout: post
session: 7
tags: [7]
level: overview
---",2025-11-27-7-slides.md,"---
layout: reveal
title: 'Wie wurde aus jüdischer Seite auf Ibn Hazm geantwortet?'
author: 'Nathan Gibson'
session: 7
tags: [7,slides]
category: slides
image: cordoba-synagogue-inscription.jpg
parallaxBackgroundImage: 'assets/img/cordoba-synagogue-inscription.jpg'
---
","# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Wie wurde aus jüdischer Seite auf Ibn Hazm geantwortet?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

","

## Lektüre



## Diskussion


## Vorschau

Übung: Argumentationsanalyse vom jüdischen Text mit Close Reading","---
layout: reveal
title: 'Wie wurde aus jüdischer Seite auf Ibn Hazm geantwortet?'
author: 'Nathan Gibson'
session: 7
tags: [7,slides]
category: slides
image: cordoba-synagogue-inscription.jpg
parallaxBackgroundImage: 'assets/img/cordoba-synagogue-inscription.jpg'
---
# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Wie wurde aus jüdischer Seite auf Ibn Hazm geantwortet?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel



## Lektüre



## Diskussion


## Vorschau

Übung: Argumentationsanalyse vom jüdischen Text mit Close Reading"
,8,04.12,2025-12-04-8.md,Muslimisch-jüdischer Austausch,Salomo ibn Adret: Argumentationsanalyse,Übung: Argumentationsanalyse vom jüdischen Text mit Close Reading,Hybridität,8. Muslimisch-jüdischer Austausch: Salomo ibn Adret: Argumentationsanalyse,8,andalus-jew-muslim-chess.png,8-Salomo-ibn-Adret-Argumentationsanalyse,,,,[8],"---
layout: post
session: 8
tags: [8]
level: overview
---",2025-12-04-8-slides.md,"---
layout: reveal
title: 'Übung: Argumentationsanalyse vom jüdischen Text mit Close Reading'
author: 'Nathan Gibson'
session: 8
tags: [8,slides]
category: slides
image: andalus-jew-muslim-chess.png
parallaxBackgroundImage: 'assets/img/andalus-jew-muslim-chess.png'
---
","# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Übung: Argumentationsanalyse vom jüdischen Text mit Close Reading

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

","

## Lektüre



## Diskussion


## Vorschau

Was ist der “Brief aus Zypern”?","---
layout: reveal
title: 'Übung: Argumentationsanalyse vom jüdischen Text mit Close Reading'
author: 'Nathan Gibson'
session: 8
tags: [8,slides]
category: slides
image: andalus-jew-muslim-chess.png
parallaxBackgroundImage: 'assets/img/andalus-jew-muslim-chess.png'
---
# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Übung: Argumentationsanalyse vom jüdischen Text mit Close Reading

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel



## Lektüre



## Diskussion


## Vorschau

Was ist der “Brief aus Zypern”?"
,9,11.12,2025-12-11-9.md,Christlich-muslimischer Austausch,Brief aus Zypern,Was ist der “Brief aus Zypern”?,,9. Christlich-muslimischer Austausch: Brief aus Zypern,9,cyprus-church.jpg,9-Brief-aus-Zypern,,,,[9],"---
layout: post
session: 9
tags: [9]
level: overview
---",2025-12-11-9-slides.md,"---
layout: reveal
title: 'Was ist der “Brief aus Zypern”?'
author: 'Nathan Gibson'
session: 9
tags: [9,slides]
category: slides
image: cyprus-church.jpg
parallaxBackgroundImage: 'assets/img/cyprus-church.jpg'
---
","# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Was ist der “Brief aus Zypern”?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

","

## Lektüre



## Diskussion


## Vorschau

Wie wurde im Brief aus Zypern über den Koran diskutiert?","---
layout: reveal
title: 'Was ist der “Brief aus Zypern”?'
author: 'Nathan Gibson'
session: 9
tags: [9,slides]
category: slides
image: cyprus-church.jpg
parallaxBackgroundImage: 'assets/img/cyprus-church.jpg'
---
# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Was ist der “Brief aus Zypern”?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel



## Lektüre



## Diskussion


## Vorschau

Wie wurde im Brief aus Zypern über den Koran diskutiert?"
,10,18.12,2025-12-18-10.md,Christlich-muslimischer Austausch,Brief aus Zypern: Text,Wie wurde im Brief aus Zypern über den Koran diskutiert?,,10. Christlich-muslimischer Austausch: Brief aus Zypern: Text,10,quran-stand.jpg,10-Brief-aus-Zypern-Text,,,,[10],"---
layout: post
session: 10
tags: [10]
level: overview
---",2025-12-18-10-slides.md,"---
layout: reveal
title: 'Wie wurde im Brief aus Zypern über den Koran diskutiert?'
author: 'Nathan Gibson'
session: 10
tags: [10,slides]
category: slides
image: quran-stand.jpg
parallaxBackgroundImage: 'assets/img/quran-stand.jpg'
---
","# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Wie wurde im Brief aus Zypern über den Koran diskutiert?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

","

## Lektüre



## Diskussion


## Vorschau

Übung: Argumentationsanalyse vom Brief aus Zypern mit Close Reading","---
layout: reveal
title: 'Wie wurde im Brief aus Zypern über den Koran diskutiert?'
author: 'Nathan Gibson'
session: 10
tags: [10,slides]
category: slides
image: quran-stand.jpg
parallaxBackgroundImage: 'assets/img/quran-stand.jpg'
---
# Interreligiöse Begegnungen und Debatten auf Arabisch vom 11. bis zum 14. Jahrhundert
{: .r-fit-text}

### Wie wurde im Brief aus Zypern über den Koran diskutiert?

Sommersemester 2025
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel



## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel



## Lektüre



## Diskussion


## Vorschau

Übung: Argumentationsanalyse vom Brief aus Zypern mit Close Reading"
